DriverId,BaseLevel,Experience
albon,178.60909090909087,38
alonso,673.6636363636366,196
antonelli,0.0,0
bearman,0.0,0
bortoleto,0.0,0
bottas,1386.6636363636364,179
colapinto,0.0,0
de_vries,0.0,0
doohan,0.0,0
gasly,286.6,86
hadjar,0.0,0
hamilton,2707.636363636367,236
hulkenberg,326.2727272727274,182
kevin_magnussen,113.13636363636365,120
latifi,7.0,39
lawson,0.0,0
leclerc,512.7181818181818,81
max_verstappen,1327.581818181818,141
mick_schumacher,0.0,22
norris,293.59090909090907,60
ocon,236.55454545454546,89
perez,684.2818181818185,215
piastri,0.0,0
ricciardo,936.6818181818186,210
russell,18.80909090909091,60
sainz,471.22727272727275,141
sargeant,0.0,0
stroll,157.2272727272727,100
tsunoda,32.0,22
vettel,1721.8818181818185,237
zhou,0.0,0
